               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,            0.041455,            0.013323,             0.01856,              0.6506,             0.56381,             0.59409,              0.2947,            0.044714,           0.0085878,             0.02032,           0.0068568,           0.0068568,           0.0068568
                 129,             0.04149,            0.013477,            0.018544,             0.64813,             0.56506,             0.59346,             0.29437,            0.044728,           0.0085914,            0.020326,            0.006832,            0.006832,            0.006832
                 130,            0.041492,            0.013248,            0.018509,             0.64677,             0.56508,             0.59362,             0.29454,            0.044741,           0.0085962,            0.020333,           0.0068073,           0.0068073,           0.0068073
                 131,            0.041259,            0.013164,            0.018549,             0.64724,             0.56648,             0.59423,              0.2941,            0.044749,           0.0086007,            0.020342,           0.0067825,           0.0067825,           0.0067825
                 132,             0.04144,            0.013334,            0.018511,             0.64707,             0.56599,             0.59405,             0.29398,            0.044764,            0.008606,             0.02035,           0.0067577,           0.0067577,           0.0067577
                 133,            0.041056,             0.01316,            0.018409,             0.64592,             0.56628,             0.59376,             0.29392,            0.044776,           0.0086107,            0.020359,            0.006733,            0.006733,            0.006733
                 134,            0.040941,            0.013164,            0.018356,             0.64597,             0.56508,             0.59286,             0.29393,            0.044788,           0.0086173,             0.02036,           0.0067082,           0.0067082,           0.0067082
                 135,            0.041037,            0.013256,            0.018389,             0.64686,             0.56269,             0.59255,             0.29394,             0.04481,           0.0086221,            0.020368,           0.0066835,           0.0066835,           0.0066835
                 136,             0.04075,            0.013222,            0.018324,             0.64566,             0.56306,             0.59222,              0.2938,            0.044827,           0.0086263,             0.02037,           0.0066587,           0.0066587,           0.0066587
                 137,            0.040548,            0.013219,            0.018305,             0.64359,             0.56056,             0.59116,             0.29369,            0.044845,           0.0086319,            0.020379,            0.006634,            0.006634,            0.006634
                 138,            0.040909,            0.013142,            0.018389,             0.64334,             0.55931,             0.59028,             0.29341,            0.044862,           0.0086352,            0.020387,           0.0066092,           0.0066092,           0.0066092
                 139,            0.040544,            0.013144,            0.018397,             0.63966,             0.56024,             0.58992,             0.29294,            0.044883,           0.0086399,            0.020397,           0.0065845,           0.0065845,           0.0065845
                 140,            0.040665,            0.013204,             0.01835,             0.63914,             0.56086,             0.59018,             0.29286,            0.044903,           0.0086447,            0.020411,           0.0065598,           0.0065598,           0.0065598
                 141,            0.040542,             0.01309,            0.018262,             0.64004,             0.56004,             0.58978,             0.29256,            0.044922,           0.0086486,            0.020423,            0.006535,            0.006535,            0.006535
                 142,            0.040623,            0.012984,            0.018381,             0.63662,             0.56174,             0.58907,             0.29237,            0.044941,           0.0086528,             0.02043,           0.0065102,           0.0065102,           0.0065102
                 143,             0.04046,            0.013017,            0.018204,              0.6372,             0.56246,             0.58833,             0.29229,            0.044958,           0.0086574,            0.020438,           0.0064855,           0.0064855,           0.0064855
                 144,            0.040166,            0.013075,            0.018202,             0.63813,             0.56228,             0.58804,             0.29226,            0.044984,            0.008662,            0.020448,           0.0064608,           0.0064608,           0.0064608
                 145,            0.040293,             0.01307,            0.018269,             0.64121,             0.56099,             0.58756,             0.29209,            0.045004,           0.0086673,            0.020451,            0.006436,            0.006436,            0.006436
                 146,            0.040303,            0.013094,            0.018197,             0.64349,             0.55964,             0.58723,             0.29192,            0.045024,           0.0086725,            0.020455,           0.0064112,           0.0064112,           0.0064112
                 147,            0.040222,            0.013051,            0.018293,             0.64422,             0.55908,             0.58688,             0.29136,            0.045044,           0.0086776,            0.020458,           0.0063865,           0.0063865,           0.0063865
                 148,            0.040225,            0.013047,            0.018239,             0.63761,             0.56288,             0.58677,             0.29132,            0.045065,           0.0086826,            0.020459,           0.0063618,           0.0063618,           0.0063618
                 149,            0.039967,            0.013026,             0.01822,             0.63459,             0.56338,             0.58716,             0.29158,            0.045087,           0.0086877,            0.020462,            0.006337,            0.006337,            0.006337
                 150,             0.04007,            0.012757,            0.018299,             0.63779,             0.56063,             0.58693,             0.29136,            0.045106,           0.0086924,            0.020469,           0.0063122,           0.0063122,           0.0063122
                 151,            0.039948,            0.012812,            0.018188,              0.6386,             0.55801,             0.58658,             0.29115,            0.045124,           0.0086966,            0.020476,           0.0062875,           0.0062875,           0.0062875
                 152,            0.039859,            0.012834,            0.018183,             0.64002,             0.55636,              0.5863,             0.29111,             0.04515,           0.0087021,            0.020482,           0.0062628,           0.0062628,           0.0062628
                 153,            0.039848,            0.012843,            0.018292,             0.64142,             0.55622,              0.5863,             0.29133,            0.045167,           0.0087081,            0.020481,            0.006238,            0.006238,            0.006238
